"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
2.72186234766308e-30,1.13454626437776,0.277,0.122,4.90125752943692e-26,"SSTR1","0"
5.52806631268831e-30,0.79624409824866,0.498,0.308,9.95438900925784e-26,"MFSD4A","0"
7.19674463914362e-30,0.935642195963681,0.381,0.203,1.29591780717059e-25,"ACTN1","0"
1.03725155952393e-29,0.432882116300697,0.883,0.759,1.86777888323474e-25,"NPTN","0"
2.39054759859005e-29,1.09649330695865,0.263,0.112,4.3046590607811e-25,"MAN1C1","0"
2.41823851796868e-29,0.822153531637199,0.423,0.238,4.35452209930621e-25,"CAMK4","0"
2.4805027902577e-29,0.743838094460657,0.466,0.269,4.46664137441705e-25,"SYBU","0"
3.32456207874623e-29,0.595107871772746,0.637,0.431,5.98653893519833e-25,"CAMKK2","0"
5.19555405802087e-29,0.903198729488397,0.417,0.237,9.35563419227819e-25,"EPDR1","0"
1.18523132673956e-28,0.768800115096768,0.463,0.276,2.13424605005993e-24,"BAIAP3","0"
1.76966208648624e-28,0.666594196932438,0.591,0.399,3.18663051913578e-24,"YJEFN3","0"
1.91672338505771e-28,0.924703158389299,0.359,0.189,3.45144379947342e-24,"MFGE8","0"
2.08634266870332e-28,0.965923668855306,0.332,0.167,3.75687724353407e-24,"FLRT2","0"
2.33212247488513e-28,0.727702861252432,0.536,0.347,4.19945294052566e-24,"TMX4","0"
4.88195965564974e-28,0.478245963729095,0.817,0.679,8.79094475192849e-24,"CALY","0"
7.57279964463579e-28,0.396049417592067,0.898,0.787,1.36363403200957e-23,"PHYHIP","0"
1.07941228274334e-27,0.601783617113761,0.647,0.463,1.94369769753593e-23,"CHL1","0"
1.1809558479407e-27,0.646558445682909,0.565,0.367,2.12654719538681e-23,"GRIN2A","0"
1.37748905920673e-27,0.450285940384751,0.858,0.707,2.48044454891357e-23,"NSF","0"
1.44584467100439e-27,0.657237497521899,0.524,0.328,2.6035324990776e-23,"MKL2","0"
1.52237149528476e-27,0.725950288685139,0.495,0.306,2.74133435155926e-23,"CTNNA2","0"
2.13750150071246e-27,0.356924236982335,0.923,0.864,3.84899895233293e-23,"SERPINI1","0"
2.86547385457757e-27,0.901584954885666,0.367,0.198,5.15985876993783e-23,"CACNA1A","0"
3.02924564817544e-27,0.877585778198439,0.338,0.172,5.45476263866952e-23,"TESC","0"
3.19117099180704e-27,0.947579684670097,0.329,0.167,5.74634160494693e-23,"SORBS2","0"
6.13114845454722e-27,0.492820898576998,0.751,0.555,1.10403590221032e-22,"SV2A","0"
8.7568041190265e-27,0.935642195963681,0.335,0.173,1.5768377177131e-22,"HOMER1","0"
1.49268229726062e-26,0.36083945572649,0.939,0.881,2.6878730126772e-22,"SLC22A17","0"
1.75676151593113e-26,0.846388105815767,0.398,0.227,3.16340046173718e-22,"NCEH1","0"
1.90019186509451e-26,0.649843828354307,0.535,0.345,3.42167549147569e-22,"NLK","0"
2.09736162848335e-26,0.369768378115764,0.904,0.816,3.77671908440997e-22,"ATP1A3","0"
2.14478367941164e-26,0.715695711987716,0.497,0.312,3.86211197151653e-22,"CAMKK1","0"
2.44433893828644e-26,0.971548091299886,0.293,0.141,4.4015211261724e-22,"LRRC4","0"
3.31037733942671e-26,1.04585920225059,0.287,0.139,5.96099647510568e-22,"STEAP2","0"
3.41980565711608e-26,0.770041499117909,0.439,0.263,6.15804404676892e-22,"SCN8A","0"
5.20540416940785e-26,0.922618135476954,0.333,0.174,9.37337128785271e-22,"ABLIM2","0"
7.95469751866151e-26,0.597543685145123,0.608,0.424,1.43240238218538e-21,"OXR1","0"
8.36114953539375e-26,1.07397988859542,0.264,0.123,1.50559219683835e-21,"CDH8","0"
8.67132979234506e-26,0.864916244838269,0.367,0.202,1.56144635570757e-21,"KCNQ5","0"
1.26903847504599e-25,0.530824739772558,0.662,0.469,2.28515758201532e-21,"RBFOX1","0"
1.31578285220681e-25,0.830717944086794,0.386,0.22,2.3693301819688e-21,"SIPA1L1","0"
1.39355669470616e-25,0.732869583250137,0.42,0.242,2.50937754015738e-21,"SCRT1","0"
1.49955446278538e-25,1.09085456528651,0.258,0.12,2.70024772113764e-21,"GNAL","0"
2.67513146542639e-25,0.860756616858298,0.364,0.201,4.8171092297933e-21,"ICAM5","0"
4.38726230384254e-25,0.912346200955509,0.376,0.215,7.90014323052926e-21,"VAMP1","0"
4.62298340650883e-25,0.296364281447991,0.969,0.908,8.32460622010045e-21,"BASP1","0"
4.73283094743787e-25,1.02805783018508,0.289,0.144,8.52240868705137e-21,"TMEM65","0"
6.08334796653046e-25,0.622168603320432,0.56,0.376,1.09542846833314e-20,"SNX10","0"
6.08779660324076e-25,0.691316792076041,0.472,0.294,1.09622953434556e-20,"KLC2","0"
6.46719456026821e-25,0.785591680030007,0.381,0.215,1.1645477244675e-20,"EFR3B","0"
1.4533729642772e-24,0.673616315190803,0.472,0.294,2.61708869677396e-20,"ATRNL1","0"
1.83138623925661e-24,0.936645251723262,0.318,0.167,3.29777720102937e-20,"HTR2A","0"
1.97513095408677e-24,0.777877908640904,0.384,0.219,3.55661830902405e-20,"ADAM23","0"
2.17690836026186e-24,0.275897284106335,0.985,0.959,3.91995888432353e-20,"TPI1","0"
4.09108497732252e-24,0.810482425146406,0.36,0.2,7.36681671866466e-20,"DOCK4","0"
4.32194578463902e-24,0.620521682525771,0.527,0.346,7.78252777439949e-20,"RIMS3","0"
4.46814856306643e-24,0.858658496462515,0.35,0.195,8.04579511751372e-20,"CPNE6","0"
5.21677339636105e-24,0.525728111045414,0.624,0.435,9.39384385482735e-20,"NRN1","0"
5.79537796946407e-24,0.46840903048018,0.75,0.579,1.0435737109614e-19,"CYCS","0"
6.8834984730753e-24,0.761027485388171,0.435,0.269,1.23951157004667e-19,"FAM19A5","0"
7.59560712892539e-24,0.294248387247471,0.979,0.962,1.3677409757056e-19,"NORAD","0"
1.05919760722778e-23,0.73232477742363,0.409,0.243,1.90729713133507e-19,"KCNV1","0"
1.10754750478253e-23,0.67672389860212,0.453,0.279,1.99436079186191e-19,"R3HDM1","0"
1.24683765382042e-23,0.681247724972615,0.481,0.304,2.24518056323443e-19,"PTPRF","0"
1.24701964513369e-23,0.633793495540746,0.506,0.332,2.24550827499224e-19,"PRKCA","0"
1.39725060280455e-23,0.308933499399092,0.962,0.917,2.51602916047015e-19,"ATP5MD","0"
1.51891877551863e-23,0.671763947139628,0.481,0.307,2.7351170390764e-19,"GABRB3","0"
1.53686567789016e-23,0.810008363507574,0.368,0.211,2.76743402617682e-19,"GRIN2B","0"
1.61375857834774e-23,0.625226814144039,0.491,0.311,2.90589507203078e-19,"NRXN3","0"
