"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
6.1911632310662e-33,1.14675576082289,0.317,0.145,1.11484276301809e-28,"DGKB","0"
7.78751244730703e-33,0.465883968956766,0.894,0.785,1.40229736638658e-28,"NCDN","0"
8.30891712326461e-33,0.816650349251682,0.476,0.27,1.49618670638626e-28,"C14orf132","0"
8.59434966720583e-33,0.927005452717893,0.394,0.204,1.54758454457375e-28,"PNCK","0"
9.07122081856793e-33,0.890513639072006,0.43,0.234,1.63345473279953e-28,"SCN1A","0"
1.62883013460929e-32,0.608219344642413,0.719,0.522,2.93303442339094e-28,"NECAB1","0"
1.94064719207696e-32,0.427502021073935,0.902,0.77,3.49452339877298e-28,"RAB3A","0"
2.21550877231117e-32,-2.07138003021682,0.096,0.26,3.98946664630073e-28,"MYRF","0"
2.51768669643234e-32,0.867508792327594,0.428,0.231,4.53359843426572e-28,"SLC2A13","0"
2.75496995925255e-32,0.371760282075605,0.966,0.894,4.96087440562606e-28,"EEF1A2","0"
3.41687726044797e-32,0.959648866421921,0.361,0.177,6.15277088288866e-28,"MGAT5B","0"
3.50398509750436e-32,0.324145269849226,0.987,0.959,6.3096259650761e-28,"PCSK1N","0"
4.05949350959128e-32,-1.96583606555347,0.106,0.272,7.30992996272101e-28,"TTYH2","0"
4.77067222734065e-32,0.48375566314048,0.862,0.726,8.59054947977231e-28,"ATP2B2","0"
5.16346087411937e-32,0.696963654597067,0.59,0.376,9.29784399602674e-28,"PLCB1","0"
6.06855536794917e-32,1.13416615765948,0.452,0.269,1.09276476510661e-27,"NEFH","0"
6.8383625232104e-32,-0.399957479281676,0.903,0.952,1.2313839395545e-27,"RPL18","0"
7.0524423746641e-32,0.601548045906754,0.671,0.458,1.26993329840576e-27,"CDK5R1","0"
8.88203476201171e-32,0.876764952658346,0.427,0.232,1.59938799959545e-27,"CDH13","0"
1.03358902443632e-31,0.298986949067271,0.999,0.993,1.86118375630248e-27,"RTN3","0"
1.03729767861936e-31,0.997411091002337,0.337,0.162,1.86786192988988e-27,"FBXO34","0"
1.4207791806968e-31,0.805738182186732,0.501,0.3,2.55839707068072e-27,"SMARCA2","0"
1.63351208961333e-31,-0.393027177008898,0.967,0.987,2.94146521976673e-27,"RPL37","0"
1.92010478087675e-31,1.15819198342942,0.272,0.115,3.45753267892477e-27,"GABRA4","0"
1.94795912333002e-31,-0.438548146986335,0.873,0.943,3.50768999338037e-27,"RPS13","0"
